
********** Community [6] ************

Id: 5755, Community ID: 9, Is Centroid: False

Id: 5758, Community ID: 9, Is Centroid: False

Id: 5762, Community ID: 9, Is Centroid: False

Id: 5778, Community ID: 9, Is Centroid: False

Id: 5785, Community ID: 9, Is Centroid: False

Id: 5799, Community ID: 9, Is Centroid: False

Id: 5809, Community ID: 9, Is Centroid: False

Id: 5839, Community ID: 9, Is Centroid: False

Id: 5857, Community ID: 9, Is Centroid: False

Id: 5886, Community ID: 9, Is Centroid: False

Id: 5904, Community ID: 9, Is Centroid: False

Id: 5914, Community ID: 9, Is Centroid: False

Id: 5947, Community ID: 9, Is Centroid: False

Id: 6014, Community ID: 9, Is Centroid: False

Id: 6033, Community ID: 9, Is Centroid: False

Id: 6056, Community ID: 9, Is Centroid: False

Id: 6061, Community ID: 9, Is Centroid: False

Id: 6063, Community ID: 9, Is Centroid: False

Id: 6126, Community ID: 9, Is Centroid: False

Id: 6141, Community ID: 9, Is Centroid: False

Id: 6173, Community ID: 9, Is Centroid: False

Id: 6174, Community ID: 9, Is Centroid: False

Id: 6249, Community ID: 9, Is Centroid: False

Id: 6283, Community ID: 9, Is Centroid: False

Id: 6300, Community ID: 9, Is Centroid: False

Id: 6306, Community ID: 9, Is Centroid: False

Id: 6345, Community ID: 9, Is Centroid: False

Id: 6349, Community ID: 9, Is Centroid: False

Id: 6430, Community ID: 9, Is Centroid: False

Id: 6433, Community ID: 9, Is Centroid: False

Id: 6446, Community ID: 9, Is Centroid: False

********** Community [10] ************

Id: 10, Community ID: 10, Is Centroid: False

Id: 337, Community ID: 10, Is Centroid: False

Id: 1535, Community ID: 10, Is Centroid: False

Id: 1572, Community ID: 10, Is Centroid: False

Id: 1933, Community ID: 10, Is Centroid: False

Id: 2300, Community ID: 10, Is Centroid: False

Id: 2548, Community ID: 10, Is Centroid: False

Id: 2969, Community ID: 10, Is Centroid: False

Id: 3012, Community ID: 10, Is Centroid: False

Id: 3198, Community ID: 10, Is Centroid: False

Id: 4394, Community ID: 10, Is Centroid: False

Id: 4759, Community ID: 10, Is Centroid: False

Id: 4793, Community ID: 10, Is Centroid: True

Id: 4795, Community ID: 10, Is Centroid: False

Id: 5613, Community ID: 10, Is Centroid: False

Id: 6011, Community ID: 10, Is Centroid: False

********** Community [11] ************

Id: 11, Community ID: 11, Is Centroid: False

Id: 17, Community ID: 11, Is Centroid: False

Id: 117, Community ID: 11, Is Centroid: False

Id: 473, Community ID: 11, Is Centroid: False

Id: 479, Community ID: 11, Is Centroid: True

Id: 506, Community ID: 11, Is Centroid: False

Id: 517, Community ID: 11, Is Centroid: False

Id: 534, Community ID: 11, Is Centroid: False

Id: 612, Community ID: 11, Is Centroid: False

Id: 660, Community ID: 11, Is Centroid: False

Id: 732, Community ID: 11, Is Centroid: False

Id: 748, Community ID: 11, Is Centroid: False

Id: 865, Community ID: 11, Is Centroid: False

Id: 964, Community ID: 11, Is Centroid: False

Id: 965, Community ID: 11, Is Centroid: False

Id: 1215, Community ID: 11, Is Centroid: False

Id: 1479, Community ID: 11, Is Centroid: False

Id: 1585, Community ID: 11, Is Centroid: False

Id: 1596, Community ID: 11, Is Centroid: False

Id: 1605, Community ID: 11, Is Centroid: False

Id: 1614, Community ID: 11, Is Centroid: False

Id: 1636, Community ID: 11, Is Centroid: False

Id: 1659, Community ID: 11, Is Centroid: False

Id: 1722, Community ID: 11, Is Centroid: False

Id: 1809, Community ID: 11, Is Centroid: False

Id: 1819, Community ID: 11, Is Centroid: False

Id: 1872, Community ID: 11, Is Centroid: False

Id: 1961, Community ID: 11, Is Centroid: False

Id: 2019, Community ID: 11, Is Centroid: False

Id: 2043, Community ID: 11, Is Centroid: False

Id: 2070, Community ID: 11, Is Centroid: False

Id: 2185, Community ID: 11, Is Centroid: False

Id: 2250, Community ID: 11, Is Centroid: False

Id: 2507, Community ID: 11, Is Centroid: False

Id: 2554, Community ID: 11, Is Centroid: False

Id: 2602, Community ID: 11, Is Centroid: False

Id: 2615, Community ID: 11, Is Centroid: False

Id: 2660, Community ID: 11, Is Centroid: False

Id: 2724, Community ID: 11, Is Centroid: False

