
********** Community [11] ************

Id: 4241, Community ID: 134, Is Centroid: False

Id: 4367, Community ID: 134, Is Centroid: False

Id: 5003, Community ID: 134, Is Centroid: False

Id: 5468, Community ID: 134, Is Centroid: False

Id: 6307, Community ID: 134, Is Centroid: False

********** Community [138] ************

Id: 138, Community ID: 138, Is Centroid: False

Id: 864, Community ID: 138, Is Centroid: True

Id: 1131, Community ID: 138, Is Centroid: False

Id: 1293, Community ID: 138, Is Centroid: False

Id: 1486, Community ID: 138, Is Centroid: False

Id: 2451, Community ID: 138, Is Centroid: False

Id: 2552, Community ID: 138, Is Centroid: False

Id: 2562, Community ID: 138, Is Centroid: False

Id: 2651, Community ID: 138, Is Centroid: False

Id: 3498, Community ID: 138, Is Centroid: False

Id: 3758, Community ID: 138, Is Centroid: False

Id: 4000, Community ID: 138, Is Centroid: False

Id: 4127, Community ID: 138, Is Centroid: False

Id: 4443, Community ID: 138, Is Centroid: False

Id: 4727, Community ID: 138, Is Centroid: False

Id: 4863, Community ID: 138, Is Centroid: False

Id: 4899, Community ID: 138, Is Centroid: False

Id: 5048, Community ID: 138, Is Centroid: False

Id: 5470, Community ID: 138, Is Centroid: False

Id: 5487, Community ID: 138, Is Centroid: False

Id: 5720, Community ID: 138, Is Centroid: False

Id: 5739, Community ID: 138, Is Centroid: False

Id: 6050, Community ID: 138, Is Centroid: False

Id: 6051, Community ID: 138, Is Centroid: False

Id: 6068, Community ID: 138, Is Centroid: False

Id: 6310, Community ID: 138, Is Centroid: False

********** Community [142] ************

Id: 142, Community ID: 142, Is Centroid: False

Id: 493, Community ID: 142, Is Centroid: False

Id: 2758, Community ID: 142, Is Centroid: True

Id: 2759, Community ID: 142, Is Centroid: False

Id: 2798, Community ID: 142, Is Centroid: False

Id: 4310, Community ID: 142, Is Centroid: False

********** Community [151] ************

Id: 151, Community ID: 151, Is Centroid: False

Id: 666, Community ID: 151, Is Centroid: False

Id: 1052, Community ID: 151, Is Centroid: False

Id: 1191, Community ID: 151, Is Centroid: False

Id: 1422, Community ID: 151, Is Centroid: False

Id: 1441, Community ID: 151, Is Centroid: False

Id: 1794, Community ID: 151, Is Centroid: False

Id: 2067, Community ID: 151, Is Centroid: False

Id: 2084, Community ID: 151, Is Centroid: False

Id: 2744, Community ID: 151, Is Centroid: False

Id: 3408, Community ID: 151, Is Centroid: False

Id: 3925, Community ID: 151, Is Centroid: False

Id: 4372, Community ID: 151, Is Centroid: False

Id: 4496, Community ID: 151, Is Centroid: False

Id: 5913, Community ID: 151, Is Centroid: True

Id: 5976, Community ID: 151, Is Centroid: False

Id: 6027, Community ID: 151, Is Centroid: False

Id: 6075, Community ID: 151, Is Centroid: False

********** Community [154] ************

Id: 154, Community ID: 154, Is Centroid: False

Id: 859, Community ID: 154, Is Centroid: False

Id: 2399, Community ID: 154, Is Centroid: False

Id: 2664, Community ID: 154, Is Centroid: False

Id: 4454, Community ID: 154, Is Centroid: False

Id: 4898, Community ID: 154, Is Centroid: True

Id: 6066, Community ID: 154, Is Centroid: False

Id: 6148, Community ID: 154, Is Centroid: False

Id: 6313, Community ID: 154, Is Centroid: False

********** Community [156] ************

Id: 156, Community ID: 156, Is Centroid: False

Id: 1437, Community ID: 156, Is Centroid: False

Id: 1547, Community ID: 156, Is Centroid: False

Id: 1731, Community ID: 156, Is Centroid: False

Id: 2573, Community ID: 156, Is Centroid: False

Id: 2797, Community ID: 156, Is Centroid: False

Id: 3061, Community ID: 156, Is Centroid: False

Id: 4558, Community ID: 156, Is Centroid: True

Id: 4823, Community ID: 156, Is Centroid: False

Id: 4984, Community ID: 156, Is Centroid: False

Id: 5645, Community ID: 156, Is Centroid: False

********** Community [158] ************

Id: 158, Community ID: 158, Is Centroid: False

Id: 619, Community ID: 158, Is Centroid: False

Id: 632, Community ID: 158, Is Centroid: True

Id: 967, Community ID: 158, Is Centroid: False

Id: 1039, Community ID: 158, Is Centroid: False

Id: 1850, Community ID: 158, Is Centroid: False

Id: 1853, Community ID: 158, Is Centroid: False

Id: 2081, Community ID: 158, Is Centroid: False

Id: 2340, Community ID: 158, Is Centroid: False

Id: 2923, Community ID: 158, Is Centroid: False

Id: 3052, Community ID: 158, Is Centroid: False

Id: 3652, Community ID: 158, Is Centroid: False

Id: 3907, Community ID: 158, Is Centroid: False

Id: 4015, Community ID: 158, Is Centroid: False

Id: 4684, Community ID: 158, Is Centroid: False

Id: 4801, Community ID: 158, Is Centroid: False

Id: 4871, Community ID: 158, Is Centroid: False

Id: 4904, Community ID: 158, Is Centroid: False

Id: 5756, Community ID: 158, Is Centroid: False

Id: 6168, Community ID: 158, Is Centroid: False

Id: 6366, Community ID: 158, Is Centroid: False

********** Community [164] ************

Id: 164, Community ID: 164, Is Centroid: False

Id: 184, Community ID: 164, Is Centroid: False

Id: 909, Community ID: 164, Is Centroid: False

Id: 1080, Community ID: 164, Is Centroid: False

Id: 3084, Community ID: 164, Is Centroid: True

Id: 3429, Community ID: 164, Is Centroid: False

Id: 3435, Community ID: 164, Is Centroid: False

Id: 4616, Community ID: 164, Is Centroid: False

Id: 5709, Community ID: 164, Is Centroid: False

